"CommuteType","Weight"
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",5
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",5
"Bicycle",1
"Bicycle",4
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",6
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",3
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",4
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",4
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",5
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",5
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",6
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",4
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",5
"Bicycle",2
"Bicycle",5
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",6
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",6
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",5
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",5
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",6
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",5
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",3
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",6
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",5
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",4
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",2
"Bicycle",4
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",6
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",5
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",5
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",6
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",2
"Bicycle",3
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",4
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",4
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",5
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",3
"Bicycle",4
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",4
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",5
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",4
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",4
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",3
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",6
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",3
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",3
"Bicycle",6
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",3
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",2
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",1
"Bicycle",4
"Bicycle",2
"Bicycle",1
"Bicycle",1
